Ville;Corps;Activité;Produit;Variété;Année;Indice
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2013;116.2
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2014;117.8
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2015;118.3
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2016;120.7
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2017;119.2
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2018;120.1
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2019;120.1
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2020;118.1
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2021;125.6
RABAT;Plomberie Sanitaire;Articles et produits sanitaires;Bidet;Standard (u);2022;134.7
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2005;100.0
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2006;100.0
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2007;100.9
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2008;101.2
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2009;92.1
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2010;99.6
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2011;100.5
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2012;100.5
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2013;101.9
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2014;115.5
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2015;120.0
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2016;116.9
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2017;118.4
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2018;118.7
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2019;118.7
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2020;118.9
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2021;127.8
RABAT;Etanchéité;Produits d'étanchéité;Bitume;Bitume;2022;137.4
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2005;100.0
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2006;100.0
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2007;100.9
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2008;101.2
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2009;92.1
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2010;99.6
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2011;100.5
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2012;100.5
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2013;101.9
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2014;115.5
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2015;120.0
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2016;116.9
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2017;118.4
