Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Boujdour;Appartement économique;PT;2008;852;155
Boujdour;Appartement économique;PT;2009;897;163
Boujdour;Appartement économique;PT;2010;935;170
Boujdour;Appartement économique;PT;2011;977;178
Boujdour;Appartement économique;PT;2012;1045;190
Boujdour;Appartement économique;PT;2013;1088;198
Boujdour;Appartement économique;PT;2014;1121;204
Boujdour;Appartement économique;PT;2015;1148;209
Boujdour;Appartement économique;PT;2016;1176;214
Boujdour;Appartement économique;PT;2017;1204;219
Boujdour;Appartement économique;PT;2018;1213;220
Boujdour;Appartement économique;PT;2019;1238;225
Boujdour;Appartement économique;PT;2020;1239;225
Boujdour;Appartement économique;PT;2021;1263;230
Boujdour;Appartement économique;PT;2022;1322;240
Boujdour;Maison sur lot économique;GT;2001;1013;100
Boujdour;Maison sur lot économique;GT;2002;1095;108
Boujdour;Maison sur lot économique;GT;2003;1145;113
Boujdour;Maison sur lot économique;GT;2004;1209;119
Boujdour;Maison sur lot économique;GT;2005;1270;125
Boujdour;Maison sur lot économique;GT;2006;1345;133
Boujdour;Maison sur lot économique;GT;2007;1377;136
Boujdour;Maison sur lot économique;GT;2008;1412;139
Boujdour;Maison sur lot économique;GT;2009;1462;144
Boujdour;Maison sur lot économique;GT;2010;1495;148
Boujdour;Maison sur lot économique;GT;2011;1540;152
Boujdour;Maison sur lot économique;GT;2012;1604;158
Boujdour;Maison sur lot économique;GT;2013;1644;162
Boujdour;Maison sur lot économique;GT;2014;1683;166
Boujdour;Maison sur lot économique;GT;2015;1706;168
Boujdour;Maison sur lot économique;GT;2016;1727;170
Boujdour;Maison sur lot économique;GT;2017;1746;172
Boujdour;Maison sur lot économique;GT;2018;1769;175
Boujdour;Maison sur lot économique;GT;2019;1821;180
Boujdour;Maison sur lot économique;GT;2020;1822;180
Boujdour;Maison sur lot économique;GT;2021;1853;183
Boujdour;Maison sur lot économique;GT;2022;1908;188
Boujdour;Maison sur lot économique;MLE;2001;664;100
Boujdour;Maison sur lot économique;MLE;2002;715;107
Boujdour;Maison sur lot économique;MLE;2003;755;113
